Precinct,RegisteredVoters,HarrisEDay,TrumpEDay,SteinEDay,OliverEDay,WIEDay,TotalEDay,HarrisPct,TrumpPct
Aleppo,1363,306,348,7,6,4,671,0.456035767511177,0.518628912071535
Aspinwall Dist 1,855,342,208,0,2,2,554,0.617328519855596,0.375451263537906
Aspinwall Dist 2,582,226,114,3,2,0,345,0.655072463768116,0.330434782608696
Aspinwall Dist 3,827,339,160,2,3,2,506,0.6699604743083,0.316205533596838
Avalon Ward 1,1115,391,215,2,4,4,616,0.63474025974026,0.349025974025974
Avalon Ward 2 Dist 1,712,242,152,1,5,6,406,0.596059113300493,0.374384236453202
Avalon Ward 2 Dist 2,472,151,90,1,0,0,242,0.62396694214876,0.371900826446281
Avalon Ward 3 Dist 1,335,101,84,1,2,0,188,0.537234042553192,0.446808510638298
Avalon Ward 3 Dist 2,459,119,90,1,4,1,215,0.553488372093023,0.418604651162791
Avalon Ward 3 Dist 3,517,169,73,0,1,0,243,0.695473251028807,0.300411522633745
Baldwin Br Dist 1,613,152,183,1,3,0,339,0.448377581120944,0.539823008849558
Baldwin Br Dist 2,1041,268,299,3,2,3,575,0.466086956521739,0.52
Baldwin Br Dist 3,857,248,261,2,2,1,514,0.482490272373541,0.507782101167315
Baldwin Br Dist 4,798,188,281,3,2,0,474,0.39662447257384,0.592827004219409
Baldwin Br Dist 5,840,213,268,0,1,1,483,0.440993788819876,0.554865424430642
Baldwin Br Dist 6,743,157,245,2,3,3,410,0.382926829268293,0.597560975609756
Baldwin Br Dist 7,833,217,257,2,2,0,478,0.45397489539749,0.53765690376569
Baldwin Br Dist 8,729,164,247,0,4,0,415,0.395180722891566,0.595180722891566
Baldwin Br Dist 9,776,175,234,0,3,0,412,0.424757281553398,0.567961165048544
Baldwin Br Dist 10,1029,224,191,4,3,0,422,0.530805687203792,0.45260663507109
Baldwin Br Dist 11,1308,305,211,4,1,4,525,0.580952380952381,0.401904761904762
Baldwin Br Dist 12,660,172,232,0,2,2,408,0.42156862745098,0.568627450980392
Baldwin Br Dist 13,685,180,256,2,3,4,445,0.404494382022472,0.575280898876405
Baldwin Br Dist 14,614,163,206,2,1,0,372,0.438172043010753,0.553763440860215
Baldwin Br Dist 15,806,181,296,1,2,1,481,0.376299376299376,0.615384615384615
Baldwin Br Dist 16,916,257,268,1,1,3,530,0.484905660377359,0.505660377358491
Baldwin Br Dist 17,678,176,184,2,0,0,362,0.486187845303867,0.50828729281768
Baldwin Br Dist 18,972,244,277,2,4,1,528,0.462121212121212,0.524621212121212
Baldwin Tp Dist 1,809,264,249,2,3,1,519,0.508670520231214,0.479768786127168
Baldwin Tp Dist 2,762,211,247,2,3,2,465,0.453763440860215,0.531182795698925
Bell Acres,1188,286,389,4,3,7,689,0.415094339622642,0.564586357039187
Bellevue Ward 1 Dist 1,973,293,178,4,5,3,483,0.606625258799172,0.368530020703934
Bellevue Ward 1 Dist 2,984,353,162,2,6,2,525,0.672380952380952,0.308571428571429
Bellevue Ward 2 Dist 1,1092,345,200,4,2,8,559,0.617173524150268,0.35778175313059
Bellevue Ward 2 Dist 2,989,312,197,1,2,6,518,0.602316602316602,0.38030888030888
Bellevue Ward 3 Dist 1,1048,354,182,3,3,3,545,0.64954128440367,0.33394495412844
Bellevue Ward 3 Dist 2,981,313,224,1,4,1,543,0.576427255985267,0.412523020257827
Ben Avon Dist 1,496,210,105,0,2,2,319,0.658307210031348,0.329153605015674
Ben Avon Dist 2,994,384,220,1,5,2,612,0.627450980392157,0.359477124183007
Ben Avon Ht,341,116,90,0,0,1,207,0.560386473429952,0.434782608695652
Bethel Park Ward 1 Dist 1,869,161,292,3,2,1,459,0.350762527233115,0.636165577342048
Bethel Park Ward 1 Dist 2,801,204,237,1,4,3,449,0.4543429844098,0.527839643652561
Bethel Park Ward 1 Dist 3,840,196,270,0,2,1,469,0.417910447761194,0.575692963752665
Bethel Park Ward 2 Dist 1,748,174,268,2,5,1,450,0.386666666666667,0.595555555555556
Bethel Park Ward 2 Dist 2,939,214,297,2,6,1,520,0.411538461538462,0.571153846153846
Bethel Park Ward 2 Dist 3,1099,221,376,2,2,1,602,0.367109634551495,0.624584717607973
Bethel Park Ward 3 Dist 1,791,175,283,1,3,2,464,0.377155172413793,0.609913793103448
Bethel Park Ward 3 Dist 2,1100,220,350,7,4,0,581,0.378657487091222,0.602409638554217
Bethel Park Ward 3 Dist 3,1055,226,351,1,7,2,587,0.385008517887564,0.597955706984668
Bethel Park Ward 4 Dist 1,1351,294,442,1,3,4,744,0.395161290322581,0.594086021505376
Bethel Park Ward 4 Dist 2,808,188,222,3,3,2,418,0.449760765550239,0.5311004784689
Bethel Park Ward 4 Dist 3,878,195,257,6,1,2,461,0.422993492407809,0.557483731019523
Bethel Park Ward 5 Dist 1,712,136,251,2,1,3,393,0.346055979643766,0.638676844783715
Bethel Park Ward 5 Dist 2,653,169,213,1,2,2,387,0.436692506459948,0.550387596899225
Bethel Park Ward 5 Dist 3,1481,310,326,1,5,3,645,0.48062015503876,0.505426356589147
Bethel Park Ward 6 Dist 1,1285,264,442,1,1,1,709,0.372355430183357,0.623413258110014
Bethel Park Ward 6 Dist 2,945,251,284,2,3,3,543,0.462246777163904,0.523020257826888
Bethel Park Ward 6 Dist 3,908,191,273,1,0,2,467,0.408993576017131,0.58458244111349
Bethel Park Ward 7 Dist 1,1182,279,398,1,0,3,681,0.409691629955947,0.584434654919236
Bethel Park Ward 7 Dist 2,1286,269,344,0,4,5,622,0.432475884244373,0.553054662379421
Bethel Park Ward 7 Dist 3,760,178,228,1,2,3,412,0.432038834951456,0.553398058252427
Bethel Park Ward 8 Dist 1,556,142,176,1,2,0,321,0.442367601246106,0.548286604361371
Bethel Park Ward 8 Dist 2,526,123,94,1,3,1,222,0.554054054054054,0.423423423423423
Bethel Park Ward 8 Dist 3,1322,300,430,5,1,6,742,0.404312668463612,0.579514824797844
Bethel Park Ward 8 Dist 4,468,129,133,1,1,2,266,0.484962406015038,0.5
Bethel Park Ward 9 Dist 1,594,170,192,0,1,2,365,0.465753424657534,0.526027397260274
Bethel Park Ward 9 Dist 2,750,208,202,4,3,1,418,0.497607655502392,0.483253588516746
Bethel Park Ward 9 Dist 3,1398,323,409,0,3,2,737,0.438263229308005,0.554952510176391
Blawnox,1010,284,256,4,4,1,549,0.517304189435337,0.466302367941712
Brackenridge Ward 1,481,117,148,1,0,0,266,0.43984962406015,0.556390977443609
Brackenridge Ward 2,800,185,278,1,3,1,468,0.395299145299145,0.594017094017094
Brackenridge Ward 3,683,126,252,1,1,2,382,0.329842931937173,0.659685863874346
Braddock Ward 1,440,145,18,2,1,1,167,0.868263473053892,0.107784431137725
Braddock Ward 2,607,227,25,2,0,1,255,0.890196078431373,0.0980392156862745
Braddock Ward 3,461,154,18,3,0,0,175,0.88,0.102857142857143
Braddock Hl Dist 1,798,225,112,4,1,1,343,0.65597667638484,0.326530612244898
Braddock Hl Dist 2,525,202,104,1,2,2,311,0.64951768488746,0.334405144694534
Bradford Woods,1021,240,313,0,4,3,560,0.428571428571429,0.558928571428571
Brentwood Dist 1,547,170,160,6,2,4,342,0.497076023391813,0.467836257309942
Brentwood Dist 2,767,197,205,2,4,3,411,0.479318734793187,0.498783454987835
Brentwood Dist 3,650,186,201,0,2,2,391,0.475703324808184,0.514066496163683
Brentwood Dist 4,806,204,224,2,3,2,435,0.468965517241379,0.514942528735632
Brentwood Dist 5,735,234,138,1,4,1,378,0.619047619047619,0.365079365079365
Brentwood Dist 6,672,181,128,0,1,2,312,0.580128205128205,0.41025641025641
Brentwood Dist 7,772,198,189,0,5,3,395,0.50126582278481,0.478481012658228
Brentwood Dist 8,728,188,208,1,3,2,402,0.467661691542289,0.517412935323383
Brentwood Dist 9,600,171,157,2,0,1,331,0.516616314199396,0.474320241691843
Brentwood Dist 10,565,141,184,1,2,2,330,0.427272727272727,0.557575757575758
Bridgeville Dist 1,792,198,257,2,6,0,463,0.427645788336933,0.555075593952484
Bridgeville Dist 2,875,253,271,2,1,0,527,0.480075901328273,0.514231499051233
Bridgeville Dist 3,850,192,317,0,2,0,511,0.37573385518591,0.620352250489237
Bridgeville Dist 4,1008,256,288,5,3,3,555,0.461261261261261,0.518918918918919
Carnegie Ward 1 Dist 1,548,152,151,2,2,0,307,0.495114006514658,0.49185667752443
Carnegie Ward 1 Dist 2,1218,371,300,6,11,1,689,0.538461538461538,0.435413642960813
Carnegie Ward 1 Dist 3,871,254,258,2,1,4,519,0.489402697495183,0.497109826589595
Carnegie Ward 1 Dist 4,373,85,63,1,1,2,152,0.55921052631579,0.414473684210526
Carnegie Ward 2 Dist 1,667,191,152,5,0,1,349,0.547277936962751,0.435530085959885
Carnegie Ward 2 Dist 2,514,167,111,2,0,0,280,0.596428571428571,0.396428571428571
Carnegie Ward 2 Dist 3,494,117,148,2,0,1,268,0.436567164179104,0.552238805970149
Carnegie Ward 2 Dist 4,836,215,168,6,2,1,392,0.548469387755102,0.428571428571429
Casl Shannon Dist 1,1069,286,208,0,3,5,502,0.569721115537849,0.414342629482072
Casl Shannon Dist 2,799,222,231,3,5,4,465,0.47741935483871,0.496774193548387
Casl Shannon Dist 3,872,234,256,2,1,0,493,0.474645030425964,0.519269776876268
Casl Shannon Dist 4,655,174,163,1,1,1,340,0.511764705882353,0.479411764705882
Casl Shannon Dist 5,842,246,211,4,1,1,463,0.531317494600432,0.455723542116631
Casl Shannon Dist 6,653,178,181,1,1,1,362,0.49171270718232,0.5
Casl Shannon Dist 7,744,198,224,1,0,2,425,0.465882352941176,0.527058823529412
Casl Shannon Dist 8,551,142,162,1,2,1,308,0.461038961038961,0.525974025974026
Chalfant Dist 1,606,177,145,2,1,3,328,0.539634146341463,0.442073170731707
Cheswick Dist 1,661,159,250,0,2,0,411,0.386861313868613,0.608272506082725
Cheswick Dist 2,652,158,247,0,0,1,406,0.389162561576355,0.608374384236453
Churchill Dist 1,717,266,109,2,2,3,382,0.696335078534031,0.285340314136126
Churchill Dist 2,701,231,118,8,4,1,362,0.638121546961326,0.325966850828729
Churchill Dist 3,650,243,114,3,4,2,366,0.663934426229508,0.311475409836066
Churchill Dist 4,701,202,160,6,2,2,372,0.543010752688172,0.43010752688172
Clairton Ward 1 Dist 1,361,98,62,3,1,1,165,0.593939393939394,0.375757575757576
Clairton Ward 1 Dist 2,429,120,91,1,0,1,213,0.563380281690141,0.427230046948357
Clairton Ward 1 Dist 3,338,77,117,1,0,0,195,0.394871794871795,0.6
Clairton Ward 2 Dist 1,94,48,0,0,0,0,48,1,0
Clairton Ward 2 Dist 2,281,103,12,0,1,0,116,0.887931034482759,0.103448275862069
Clairton Ward 2 Dist 3,421,143,23,1,0,0,167,0.856287425149701,0.137724550898204
Clairton Ward 3 Dist 1,448,115,93,2,2,0,212,0.542452830188679,0.438679245283019
Clairton Ward 3 Dist 2,318,85,47,1,1,0,134,0.634328358208955,0.350746268656716
Clairton Ward 3 Dist 3,350,71,57,0,0,0,128,0.5546875,0.4453125
Clairton Ward 4 Dist 1,347,145,21,1,2,0,169,0.857988165680473,0.124260355029586
Clairton Ward 4 Dist 2,377,134,27,1,1,0,163,0.822085889570552,0.165644171779141
Clairton Ward 4 Dist 3,421,102,113,2,2,1,220,0.463636363636364,0.513636363636364
Collier Dist 1,1662,349,594,7,4,4,958,0.364300626304802,0.620041753653445
Collier Dist 2,1416,320,546,3,6,3,878,0.364464692482916,0.621867881548975
Collier Dist 3,1309,279,378,4,4,7,672,0.415178571428571,0.5625
Collier Dist 4,762,217,216,1,2,2,438,0.495433789954338,0.493150684931507
Collier Dist 5,1005,171,328,1,3,6,509,0.335952848722986,0.644400785854617
Collier Dist 6,1154,253,362,2,6,0,623,0.406099518459069,0.581059390048154
Coraopolis Ward 1 Dist 1,456,159,85,3,2,0,249,0.63855421686747,0.34136546184739
Coraopolis Ward 1 Dist 2,481,138,138,1,2,0,279,0.494623655913979,0.494623655913979
Coraopolis Ward 2,813,187,173,0,0,0,360,0.519444444444445,0.480555555555556
Coraopolis Ward 3 Dist 1,593,150,157,0,3,1,311,0.482315112540193,0.504823151125402
Coraopolis Ward 3 Dist 2,557,143,171,1,1,0,316,0.45253164556962,0.541139240506329
Coraopolis Ward 4 Dist 1,457,119,131,0,3,0,253,0.470355731225296,0.517786561264822
Coraopolis Ward 4 Dist 2,523,132,154,2,1,0,289,0.456747404844291,0.532871972318339
Crafton Ward 1 Dist 1,905,298,189,3,4,1,495,0.602020202020202,0.381818181818182
Crafton Ward 1 Dist 2,598,177,151,1,3,0,332,0.533132530120482,0.454819277108434
Crafton Ward 2 Dist 1,608,192,151,2,7,2,354,0.542372881355932,0.426553672316384
Crafton Ward 2 Dist 2,786,230,146,2,0,1,379,0.606860158311346,0.385224274406332
Crafton Ward 3 Dist 1,1005,328,237,5,7,6,583,0.562607204116638,0.406518010291595
Crafton Ward 3 Dist 2,563,191,156,0,2,0,349,0.547277936962751,0.446991404011461
Crescent Ward 1,1078,264,382,0,11,0,657,0.401826484018265,0.581430745814307
Crescent Ward 2,698,138,283,1,5,1,428,0.322429906542056,0.661214953271028
Dormont Dist 1,729,232,145,0,1,1,379,0.612137203166227,0.382585751978892
Dormont Dist 2,546,220,120,1,3,4,348,0.632183908045977,0.344827586206897
Dormont Dist 3,927,332,188,1,3,3,527,0.629981024667932,0.356736242884251
Dormont Dist 4,662,227,109,2,1,3,342,0.66374269005848,0.318713450292398
Dormont Dist 5,1026,366,186,4,2,1,559,0.65474060822898,0.332737030411449
Dormont Dist 6,519,176,95,4,4,2,281,0.626334519572954,0.338078291814947
Dormont Dist 7,521,195,94,2,0,1,292,0.667808219178082,0.321917808219178
Dormont Dist 8,407,163,78,1,1,2,245,0.66530612244898,0.318367346938776
Dormont Dist 9,544,212,98,4,0,1,315,0.673015873015873,0.311111111111111
Dormont Dist 10,636,273,129,3,3,1,409,0.667481662591687,0.315403422982885
Dravosburg Dist 1,540,108,174,2,3,1,288,0.375,0.604166666666667
Dravosburg Dist 2,341,63,138,1,1,1,204,0.308823529411765,0.676470588235294
Dravosburg Dist 3,257,58,88,2,3,1,152,0.381578947368421,0.578947368421053
Duquesne Ward 1 Dist 1,449,148,81,0,1,1,231,0.640692640692641,0.350649350649351
Duquesne Ward 1 Dist 2,485,130,41,0,1,1,173,0.751445086705202,0.236994219653179
Duquesne Ward 1 Dist 3,296,101,8,0,1,1,111,0.90990990990991,0.0720720720720721
Duquesne Ward 1 Dist 4,192,51,18,0,0,0,69,0.739130434782609,0.260869565217391
Duquesne Ward 2 Dist 1,328,94,20,0,0,0,114,0.824561403508772,0.175438596491228
Duquesne Ward 2 Dist 2,362,106,28,2,1,0,137,0.773722627737226,0.204379562043796
Duquesne Ward 2 Dist 3,426,118,64,2,1,1,186,0.634408602150538,0.344086021505376
Duquesne Ward 3 Dist 1,224,69,17,0,0,0,86,0.802325581395349,0.197674418604651
Duquesne Ward 3 Dist 2,146,48,5,0,0,0,53,0.905660377358491,0.0943396226415094
Duquesne Ward 3 Dist 3,528,160,68,4,0,2,234,0.683760683760684,0.290598290598291
East Deer Ward 1,349,97,133,0,1,0,231,0.41991341991342,0.575757575757576
East Deer Ward 2,604,126,217,0,0,1,344,0.366279069767442,0.630813953488372
E McKeesport Dist 1,400,105,118,1,0,2,226,0.464601769911504,0.52212389380531
E McKeesport Dist 2,531,167,138,0,2,1,308,0.542207792207792,0.448051948051948
E McKeesport Dist 3,474,143,122,1,0,2,268,0.533582089552239,0.455223880597015
E Pittsburgh Ward 1,342,107,30,1,1,1,140,0.764285714285714,0.214285714285714
E Pittsburgh Ward 2,387,125,36,0,1,3,165,0.757575757575758,0.218181818181818
E Pittsburgh Ward 3,514,138,46,0,0,0,184,0.75,0.25
Edgewood Dist 1,1074,438,83,2,1,2,526,0.832699619771863,0.157794676806084
Edgewood Dist 2,938,406,70,3,0,3,482,0.842323651452282,0.145228215767635
Edgewood Dist 3,882,344,52,2,3,0,401,0.85785536159601,0.129675810473815
Edgeworth Dist 1,675,203,153,0,6,3,365,0.556164383561644,0.419178082191781
Edgeworth Dist 2,801,220,199,3,2,9,433,0.508083140877598,0.459584295612009
Elizabeth Br,894,177,369,0,1,1,548,0.322992700729927,0.673357664233577
Elizabeth Tp Ward 1 Dist 1,565,121,244,1,0,1,367,0.329700272479564,0.664850136239782
Elizabeth Tp Ward 1 Dist 2,969,172,446,1,1,4,624,0.275641025641026,0.71474358974359
Elizabeth Tp Ward 2,1353,260,597,1,3,5,866,0.300230946882217,0.689376443418014
Elizabeth Tp Ward 3,1388,223,646,5,5,3,882,0.252834467120181,0.732426303854875
Elizabeth Tp Ward 4 Dist 1,883,150,359,1,3,4,517,0.290135396518375,0.694390715667311
Elizabeth Tp Ward 4 Dist 2,435,75,200,0,0,4,279,0.268817204301075,0.716845878136201
