Precinct,1st Choice,2nd Choice,3rd Choice,Count
MINNEAPOLIS W-6 P-09,Jacob Frey,Charlie Gers,Tom Hoch,1
MINNEAPOLIS W-8 P-07,Jacob Frey,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-3 P-09,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,1
MINNEAPOLIS W-7 P-06,Jacob Frey,Al Flowers,Nekima Levy-Pounds,1
MINNEAPOLIS W-1 P-04,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-1 P-08,Betsy Hodges,Raymond Dehn,Nekima Levy-Pounds,1
MINNEAPOLIS W-3 P-01,Nekima Levy-Pounds,Jacob Frey,Tom Hoch,1
MINNEAPOLIS W-3 P-09,Jacob Frey,Tom Hoch,undervote,1
MINNEAPOLIS W-1 P-05,Jacob Frey,Betsy Hodges,undervote,1
MINNEAPOLIS W-7 P-08,Jacob Frey,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-12 P-04,Jacob Frey,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-3 P-03,Jacob Frey,Tom Hoch,Tom Hoch,1
MINNEAPOLIS W-11 P-02,Betsy Hodges,Tom Hoch,Jacob Frey,1
MINNEAPOLIS W-7 P-05,Tom Hoch,Betsy Hodges,undervote,1
MINNEAPOLIS W-8 P-08,Tom Hoch,Jacob Frey,undervote,1
MINNEAPOLIS W-13 P-08,Jacob Frey,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-10 P-07,Nekima Levy-Pounds,Raymond Dehn,David Rosenfeld,1
MINNEAPOLIS W-9 P-03,Nekima Levy-Pounds,Tom Hoch,Jacob Frey,1
MINNEAPOLIS W-6 P-01,Betsy Hodges,Nekima Levy-Pounds,David Rosenfeld,1
MINNEAPOLIS W-1 P-09,Tom Hoch,Nekima Levy-Pounds,Jacob Frey,1
MINNEAPOLIS W-6 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-08,Raymond Dehn,Jacob Frey,Nekima Levy-Pounds,1
MINNEAPOLIS W-11 P-10,Jacob Frey,Betsy Hodges,Tom Hoch,1
MINNEAPOLIS W-12 P-12,Betsy Hodges,Raymond Dehn,Jacob Frey,1
MINNEAPOLIS W-9 P-05,Nekima Levy-Pounds,Betsy Hodges,Raymond Dehn,1
