Precinct,1st Choice,2nd Choice,3rd Choice,Count
MINNEAPOLIS W-2 P-09,Raymond Dehn,Jacob Frey,Nekima Levy-Pounds,1
MINNEAPOLIS W-2 P-09,Raymond Dehn,overvote,Jacob Frey,1
MINNEAPOLIS W-2 P-09,Raymond Dehn,Nekima Levy-Pounds,Jacob Frey,1
MINNEAPOLIS W-2 P-09,Nekima Levy-Pounds,Betsy Hodges,Raymond Dehn,1
MINNEAPOLIS W-2 P-09,Jacob Frey,Raymond Dehn,Tom Hoch,1
MINNEAPOLIS W-2 P-09,Nekima Levy-Pounds,Raymond Dehn,Jacob Frey,1
MINNEAPOLIS W-2 P-09,Jacob Frey,Betsy Hodges,Raymond Dehn,1
MINNEAPOLIS W-2 P-09,Betsy Hodges,Raymond Dehn,Nekima Levy-Pounds,1
MINNEAPOLIS W-2 P-09,Nekima Levy-Pounds,Raymond Dehn,undervote,1
MINNEAPOLIS W-2 P-09,Betsy Hodges,Raymond Dehn,Nekima Levy-Pounds,1
MINNEAPOLIS W-2 P-09,Nekima Levy-Pounds,Jacob Frey,Betsy Hodges,1
MINNEAPOLIS W-2 P-09,Nekima Levy-Pounds,Raymond Dehn,Betsy Hodges,1
MINNEAPOLIS W-2 P-09,Betsy Hodges,Tom Hoch,Raymond Dehn,1
MINNEAPOLIS W-2 P-09,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-2 P-09,Nekima Levy-Pounds,Raymond Dehn,Betsy Hodges,1
MINNEAPOLIS W-2 P-09,Betsy Hodges,Jacob Frey,Nekima Levy-Pounds,1
MINNEAPOLIS W-2 P-09,Nekima Levy-Pounds,Jacob Frey,Betsy Hodges,1
MINNEAPOLIS W-2 P-09,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-2 P-09,Raymond Dehn,Betsy Hodges,Nekima Levy-Pounds,1
MINNEAPOLIS W-2 P-09,Tom Hoch,undervote,undervote,1
MINNEAPOLIS W-2 P-09,Betsy Hodges,Raymond Dehn,Jacob Frey,1
MINNEAPOLIS W-2 P-09,Jacob Frey,Betsy Hodges,undervote,1
MINNEAPOLIS W-2 P-09,Raymond Dehn,Betsy Hodges,Al Flowers,1
MINNEAPOLIS W-2 P-07,Betsy Hodges,Jacob Frey,Tom Hoch,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,Raymond Dehn,Betsy Hodges,1
MINNEAPOLIS W-2 P-07,Jacob Frey,Tom Hoch,undervote,1
MINNEAPOLIS W-2 P-07,David Rosenfeld,Al Flowers,Raymond Dehn,1
MINNEAPOLIS W-2 P-07,Betsy Hodges,Nekima Levy-Pounds,Jacob Frey,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,David Rosenfeld,Gregg A. Iverson,1
MINNEAPOLIS W-2 P-07,Betsy Hodges,Raymond Dehn,Nekima Levy-Pounds,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Nekima Levy-Pounds,undervote,1
MINNEAPOLIS W-2 P-07,Tom Hoch,Jacob Frey,Betsy Hodges,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Gregg A. Iverson,Tom Hoch,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-2 P-07,Jacob Frey,Raymond Dehn,Betsy Hodges,1
MINNEAPOLIS W-2 P-07,Betsy Hodges,undervote,undervote,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,undervote,undervote,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,Raymond Dehn,Jacob Frey,1
MINNEAPOLIS W-2 P-07,Tom Hoch,Jacob Frey,Betsy Hodges,1
MINNEAPOLIS W-2 P-07,David John Wilson,Al Flowers,David Rosenfeld,1
MINNEAPOLIS W-2 P-07,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-2 P-07,Tom Hoch,Jacob Frey,undervote,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Jacob Frey,Nekima Levy-Pounds,1
MINNEAPOLIS W-2 P-07,Tom Hoch,Betsy Hodges,Jacob Frey,1
MINNEAPOLIS W-2 P-07,Al Flowers,Aswar Rahman,Tom Hoch,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Nekima Levy-Pounds,Aswar Rahman,1
MINNEAPOLIS W-2 P-07,Tom Hoch,Jacob Frey,Raymond Dehn,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Tom Hoch,Al Flowers,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,Betsy Hodges,Raymond Dehn,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,Raymond Dehn,Betsy Hodges,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Nekima Levy-Pounds,undervote,1
MINNEAPOLIS W-2 P-07,Betsy Hodges,David Rosenfeld,Aswar Rahman,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,Raymond Dehn,Jacob Frey,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,undervote,undervote,1
MINNEAPOLIS W-2 P-07,Betsy Hodges,Raymond Dehn,Nekima Levy-Pounds,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,undervote,undervote,1
MINNEAPOLIS W-2 P-07,Jacob Frey,Tom Hoch,Raymond Dehn,1
MINNEAPOLIS W-2 P-07,Betsy Hodges,Aswar Rahman,Al Flowers,1
MINNEAPOLIS W-2 P-07,Tom Hoch,Jacob Frey,Betsy Hodges,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,Raymond Dehn,Jacob Frey,1
MINNEAPOLIS W-2 P-07,Betsy Hodges,Nekima Levy-Pounds,Raymond Dehn,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,undervote,undervote,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Betsy Hodges,Jacob Frey,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Nekima Levy-Pounds,David John Wilson,1
MINNEAPOLIS W-2 P-07,Tom Hoch,Jacob Frey,undervote,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,Betsy Hodges,Raymond Dehn,1
MINNEAPOLIS W-2 P-07,Betsy Hodges,David Rosenfeld,Jacob Frey,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,undervote,undervote,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,Raymond Dehn,undervote,1
MINNEAPOLIS W-2 P-07,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Al Flowers,Gregg A. Iverson,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,Captain Jack Sparrow,Ian Simpson,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Aswar Rahman,Betsy Hodges,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Betsy Hodges,Aswar Rahman,1
MINNEAPOLIS W-2 P-07,Jacob Frey,Raymond Dehn,Tom Hoch,1
MINNEAPOLIS W-2 P-07,Betsy Hodges,Raymond Dehn,Aswar Rahman,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,Jacob Frey,Aswar Rahman,1
MINNEAPOLIS W-2 P-07,Jacob Frey,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-2 P-07,Betsy Hodges,Raymond Dehn,undervote,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,Tom Hoch,Raymond Dehn,1
MINNEAPOLIS W-2 P-07,Tom Hoch,Nekima Levy-Pounds,Raymond Dehn,1
MINNEAPOLIS W-2 P-07,Tom Hoch,Jacob Frey,Raymond Dehn,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Nekima Levy-Pounds,Jacob Frey,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Jacob Frey,Nekima Levy-Pounds,1
MINNEAPOLIS W-2 P-07,David Rosenfeld,Betsy Hodges,David John Wilson,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Tom Hoch,Al Flowers,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,undervote,undervote,1
MINNEAPOLIS W-2 P-07,Tom Hoch,Raymond Dehn,Jacob Frey,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Nekima Levy-Pounds,Tom Hoch,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,undervote,undervote,1
MINNEAPOLIS W-2 P-07,Troy Benjegerdes,Ronald Lischeid,L.A. Nik,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,Betsy Hodges,Jacob Frey,1
MINNEAPOLIS W-2 P-07,Captain Jack Sparrow,Raymond Dehn,Betsy Hodges,1
MINNEAPOLIS W-2 P-07,Jacob Frey,Raymond Dehn,undervote,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,Raymond Dehn,Tom Hoch,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,Betsy Hodges,Tom Hoch,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,Raymond Dehn,Betsy Hodges,1
MINNEAPOLIS W-2 P-07,Jacob Frey,Raymond Dehn,Tom Hoch,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Betsy Hodges,undervote,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Nekima Levy-Pounds,Al Flowers,1
MINNEAPOLIS W-2 P-07,Tom Hoch,Jacob Frey,undervote,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Betsy Hodges,Al Flowers,1
MINNEAPOLIS W-2 P-07,Jacob Frey,Betsy Hodges,Nekima Levy-Pounds,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Betsy Hodges,Aswar Rahman,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Betsy Hodges,Al Flowers,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,undervote,undervote,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-2 P-07,Jacob Frey,Tom Hoch,Raymond Dehn,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,Captain Jack Sparrow,Betsy Hodges,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Betsy Hodges,Charlie Gers,1
MINNEAPOLIS W-2 P-07,Jacob Frey,Nekima Levy-Pounds,Raymond Dehn,1
MINNEAPOLIS W-2 P-07,Betsy Hodges,Captain Jack Sparrow,David John Wilson,1
MINNEAPOLIS W-2 P-07,Betsy Hodges,Raymond Dehn,Nekima Levy-Pounds,1
MINNEAPOLIS W-2 P-07,Tom Hoch,Jacob Frey,Raymond Dehn,1
MINNEAPOLIS W-2 P-07,Betsy Hodges,Raymond Dehn,Jacob Frey,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Nekima Levy-Pounds,Al Flowers,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Nekima Levy-Pounds,Tom Hoch,1
MINNEAPOLIS W-2 P-07,Tom Hoch,Jacob Frey,Betsy Hodges,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Nekima Levy-Pounds,Al Flowers,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,undervote,undervote,1
MINNEAPOLIS W-2 P-07,Jacob Frey,Tom Hoch,Raymond Dehn,1
MINNEAPOLIS W-2 P-07,Betsy Hodges,undervote,undervote,1
MINNEAPOLIS W-2 P-07,Jacob Frey,Tom Hoch,Raymond Dehn,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,Tom Hoch,Jacob Frey,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,undervote,undervote,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,Raymond Dehn,Tom Hoch,1
MINNEAPOLIS W-2 P-07,Betsy Hodges,Jacob Frey,Tom Hoch,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,Raymond Dehn,Betsy Hodges,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-2 P-07,Tom Hoch,Betsy Hodges,undervote,1
MINNEAPOLIS W-2 P-07,Jacob Frey,Raymond Dehn,Tom Hoch,1
MINNEAPOLIS W-2 P-07,Tom Hoch,Betsy Hodges,Jacob Frey,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Aswar Rahman,Betsy Hodges,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Tom Hoch,undervote,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Betsy Hodges,Jacob Frey,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,Raymond Dehn,Jacob Frey,1
MINNEAPOLIS W-2 P-07,Betsy Hodges,Raymond Dehn,Jacob Frey,1
MINNEAPOLIS W-2 P-07,David Rosenfeld,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,undervote,undervote,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Nekima Levy-Pounds,Jacob Frey,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Nekima Levy-Pounds,undervote,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,Jacob Frey,Raymond Dehn,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,undervote,undervote,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Nekima Levy-Pounds,Al Flowers,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Charlie Gers,undervote,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Nekima Levy-Pounds,Jacob Frey,1
MINNEAPOLIS W-2 P-07,Jacob Frey,Betsy Hodges,UWI,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Betsy Hodges,undervote,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,Betsy Hodges,Jacob Frey,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,Raymond Dehn,David Rosenfeld,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Aswar Rahman,Nekima Levy-Pounds,1
MINNEAPOLIS W-2 P-07,Betsy Hodges,Tom Hoch,Jacob Frey,1
MINNEAPOLIS W-2 P-07,Betsy Hodges,Tom Hoch,Jacob Frey,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Captain Jack Sparrow,David Rosenfeld,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Raymond Dehn,Raymond Dehn,1
MINNEAPOLIS W-2 P-07,Betsy Hodges,Aswar Rahman,Nekima Levy-Pounds,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Nekima Levy-Pounds,Jacob Frey,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Nekima Levy-Pounds,Aswar Rahman,1
MINNEAPOLIS W-2 P-07,Jacob Frey,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-2 P-07,Charlie Gers,Troy Benjegerdes,Jacob Frey,1
MINNEAPOLIS W-2 P-07,Jacob Frey,Nekima Levy-Pounds,Raymond Dehn,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Nekima Levy-Pounds,Captain Jack Sparrow,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Raymond Dehn,Raymond Dehn,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,Betsy Hodges,Raymond Dehn,1
MINNEAPOLIS W-2 P-07,Tom Hoch,Jacob Frey,Betsy Hodges,1
MINNEAPOLIS W-2 P-07,Betsy Hodges,Nekima Levy-Pounds,Aswar Rahman,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Betsy Hodges,David Rosenfeld,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-2 P-07,Betsy Hodges,Nekima Levy-Pounds,Raymond Dehn,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Betsy Hodges,undervote,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,undervote,undervote,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Betsy Hodges,undervote,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,Raymond Dehn,Jacob Frey,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Captain Jack Sparrow,Betsy Hodges,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Charlie Gers,Aswar Rahman,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Betsy Hodges,David Rosenfeld,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Betsy Hodges,Jacob Frey,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,Raymond Dehn,Betsy Hodges,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Betsy Hodges,undervote,1
MINNEAPOLIS W-2 P-07,Jacob Frey,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Nekima Levy-Pounds,Tom Hoch,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Betsy Hodges,Aswar Rahman,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Nekima Levy-Pounds,Captain Jack Sparrow,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Betsy Hodges,Tom Hoch,1
MINNEAPOLIS W-2 P-07,Tom Hoch,Jacob Frey,undervote,1
MINNEAPOLIS W-2 P-07,Charlie Gers,Raymond Dehn,L.A. Nik,1
MINNEAPOLIS W-2 P-07,Tom Hoch,Jacob Frey,Betsy Hodges,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Betsy Hodges,undervote,1
MINNEAPOLIS W-2 P-07,Betsy Hodges,Raymond Dehn,David John Wilson,1
MINNEAPOLIS W-2 P-07,Troy Benjegerdes,Ian Simpson,Charlie Gers,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Nekima Levy-Pounds,Captain Jack Sparrow,1
MINNEAPOLIS W-2 P-07,Jacob Frey,Tom Hoch,Ian Simpson,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,undervote,undervote,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Betsy Hodges,Nekima Levy-Pounds,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Tom Hoch,Nekima Levy-Pounds,1
MINNEAPOLIS W-2 P-07,Jacob Frey,Betsy Hodges,undervote,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Betsy Hodges,Al Flowers,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,Betsy Hodges,undervote,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Nekima Levy-Pounds,Captain Jack Sparrow,1
MINNEAPOLIS W-2 P-07,Jacob Frey,Tom Hoch,Aswar Rahman,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,undervote,undervote,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Captain Jack Sparrow,undervote,1
MINNEAPOLIS W-2 P-07,Betsy Hodges,Aswar Rahman,undervote,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Betsy Hodges,Captain Jack Sparrow,1
MINNEAPOLIS W-2 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-07,Betsy Hodges,Jacob Frey,Nekima Levy-Pounds,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,Betsy Hodges,Jacob Frey,1
MINNEAPOLIS W-2 P-07,Tom Hoch,Jacob Frey,undervote,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Betsy Hodges,Ronald Lischeid,1
MINNEAPOLIS W-2 P-07,Tom Hoch,Raymond Dehn,Charlie Gers,1
MINNEAPOLIS W-2 P-07,Betsy Hodges,Al Flowers,Aswar Rahman,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Nekima Levy-Pounds,undervote,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,Raymond Dehn,Tom Hoch,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,undervote,undervote,1
MINNEAPOLIS W-2 P-07,Betsy Hodges,Nekima Levy-Pounds,Raymond Dehn,1
MINNEAPOLIS W-2 P-07,Jacob Frey,Nekima Levy-Pounds,Raymond Dehn,1
MINNEAPOLIS W-2 P-07,Jacob Frey,Tom Hoch,Nekima Levy-Pounds,1
MINNEAPOLIS W-2 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-07,Charlie Gers,L.A. Nik,Captain Jack Sparrow,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,undervote,undervote,1
MINNEAPOLIS W-2 P-07,Betsy Hodges,Ronald Lischeid,David John Wilson,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,Raymond Dehn,Betsy Hodges,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,Aswar Rahman,Raymond Dehn,1
MINNEAPOLIS W-2 P-07,Tom Hoch,Nekima Levy-Pounds,Al Flowers,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Betsy Hodges,Aswar Rahman,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Betsy Hodges,undervote,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,Raymond Dehn,UWI,1
MINNEAPOLIS W-2 P-07,Jacob Frey,Raymond Dehn,Tom Hoch,1
MINNEAPOLIS W-2 P-07,Aswar Rahman,Charlie Gers,Ronald Lischeid,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,Tom Hoch,Raymond Dehn,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,Betsy Hodges,undervote,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,Betsy Hodges,Raymond Dehn,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Nekima Levy-Pounds,UWI,1
MINNEAPOLIS W-2 P-07,Betsy Hodges,Raymond Dehn,Tom Hoch,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,Raymond Dehn,David Rosenfeld,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,Raymond Dehn,undervote,1
MINNEAPOLIS W-2 P-07,Aswar Rahman,Betsy Hodges,undervote,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Jacob Frey,Nekima Levy-Pounds,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Nekima Levy-Pounds,Jacob Frey,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,Raymond Dehn,Aswar Rahman,1
MINNEAPOLIS W-2 P-07,Betsy Hodges,Raymond Dehn,Nekima Levy-Pounds,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,Raymond Dehn,Captain Jack Sparrow,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,Betsy Hodges,Raymond Dehn,1
MINNEAPOLIS W-2 P-07,Nekima Levy-Pounds,Jacob Frey,Raymond Dehn,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Betsy Hodges,undervote,1
MINNEAPOLIS W-2 P-07,Jacob Frey,Betsy Hodges,Al Flowers,1
MINNEAPOLIS W-2 P-07,UWI,Nekima Levy-Pounds,Al Flowers,1
MINNEAPOLIS W-2 P-07,Jacob Frey,Aswar Rahman,Betsy Hodges,1
MINNEAPOLIS W-2 P-07,Charlie Gers,Betsy Hodges,Captain Jack Sparrow,1
MINNEAPOLIS W-2 P-07,Al Flowers,Betsy Hodges,Gregg A. Iverson,1
MINNEAPOLIS W-2 P-07,Aswar Rahman,Captain Jack Sparrow,David John Wilson,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Nekima Levy-Pounds,David John Wilson,1
MINNEAPOLIS W-2 P-07,Raymond Dehn,Betsy Hodges,Nekima Levy-Pounds,1
MINNEAPOLIS W-2 P-07,Tom Hoch,Betsy Hodges,Nekima Levy-Pounds,1
MINNEAPOLIS W-2 P-06,Raymond Dehn,Nekima Levy-Pounds,Tom Hoch,1
MINNEAPOLIS W-2 P-06,Nekima Levy-Pounds,Aswar Rahman,Raymond Dehn,1
MINNEAPOLIS W-2 P-06,Betsy Hodges,Tom Hoch,Jacob Frey,1
MINNEAPOLIS W-2 P-06,Raymond Dehn,Tom Hoch,Jacob Frey,1
MINNEAPOLIS W-2 P-06,Jacob Frey,Tom Hoch,Nekima Levy-Pounds,1
MINNEAPOLIS W-2 P-06,Raymond Dehn,Betsy Hodges,Nekima Levy-Pounds,1
MINNEAPOLIS W-2 P-06,Tom Hoch,Jacob Frey,Raymond Dehn,1
MINNEAPOLIS W-2 P-06,Nekima Levy-Pounds,Raymond Dehn,Jacob Frey,1
MINNEAPOLIS W-2 P-06,Tom Hoch,Jacob Frey,undervote,1
MINNEAPOLIS W-2 P-06,Raymond Dehn,Tom Hoch,Jacob Frey,1
MINNEAPOLIS W-2 P-06,Betsy Hodges,Nekima Levy-Pounds,Tom Hoch,1
MINNEAPOLIS W-2 P-06,Tom Hoch,Nekima Levy-Pounds,Raymond Dehn,1
MINNEAPOLIS W-2 P-06,Betsy Hodges,Nekima Levy-Pounds,Raymond Dehn,1
MINNEAPOLIS W-2 P-06,Jacob Frey,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-2 P-06,UWI,undervote,undervote,1
MINNEAPOLIS W-2 P-06,Betsy Hodges,Jacob Frey,Gregg A. Iverson,1
MINNEAPOLIS W-2 P-06,Nekima Levy-Pounds,Jacob Frey,Raymond Dehn,1
MINNEAPOLIS W-2 P-06,Betsy Hodges,Al Flowers,undervote,1
MINNEAPOLIS W-2 P-06,Tom Hoch,Betsy Hodges,undervote,1
MINNEAPOLIS W-2 P-06,Tom Hoch,Raymond Dehn,undervote,1
MINNEAPOLIS W-2 P-06,Raymond Dehn,Nekima Levy-Pounds,Jacob Frey,1
MINNEAPOLIS W-2 P-06,Raymond Dehn,Tom Hoch,UWI,1
MINNEAPOLIS W-2 P-06,Betsy Hodges,Raymond Dehn,Tom Hoch,1
MINNEAPOLIS W-2 P-06,David John Wilson,Raymond Dehn,Aswar Rahman,1
MINNEAPOLIS W-2 P-06,Nekima Levy-Pounds,Jacob Frey,Raymond Dehn,1
MINNEAPOLIS W-2 P-06,Raymond Dehn,Betsy Hodges,Jacob Frey,1
MINNEAPOLIS W-2 P-06,Al Flowers,Betsy Hodges,Captain Jack Sparrow,1
MINNEAPOLIS W-2 P-06,Betsy Hodges,Raymond Dehn,Nekima Levy-Pounds,1
MINNEAPOLIS W-2 P-06,Raymond Dehn,Nekima Levy-Pounds,Jacob Frey,1
MINNEAPOLIS W-2 P-06,Nekima Levy-Pounds,Raymond Dehn,Betsy Hodges,1
MINNEAPOLIS W-2 P-06,Tom Hoch,Raymond Dehn,Nekima Levy-Pounds,1
MINNEAPOLIS W-2 P-06,Nekima Levy-Pounds,Betsy Hodges,Tom Hoch,1
MINNEAPOLIS W-2 P-06,Tom Hoch,Jacob Frey,Betsy Hodges,1
MINNEAPOLIS W-2 P-06,Betsy Hodges,Raymond Dehn,Jacob Frey,1
MINNEAPOLIS W-2 P-06,Betsy Hodges,Raymond Dehn,Jacob Frey,1
MINNEAPOLIS W-2 P-06,Raymond Dehn,Aswar Rahman,Nekima Levy-Pounds,1
MINNEAPOLIS W-2 P-06,Jacob Frey,David Rosenfeld,Nekima Levy-Pounds,1
